"HOLDER","USER","NAME","TITLE","EXPNO","SOLVENT","EXPERIMENT","PARAMETERS","DISK"
101,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01183_R1C1\n","10","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01183,usera3,FIBr05,usera4,fib112","D:\IVDrData\data"
101,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01183_R1C1\n","11","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01183,usera3,FIBr05,usera4,fib112","D:\IVDrData\data"
101,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01183_R1C1\n","12","Urine_3mm","WATER_ADJ","usera2,FIB01183,usera3,FIBr05,usera4,fib112","D:\IVDrData\data"
102,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01184_R1C2\n","20","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01184,usera3,FIBr05,usera4,fib117","D:\IVDrData\data"
102,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01184_R1C2\n","21","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01184,usera3,FIBr05,usera4,fib117","D:\IVDrData\data"
102,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01184_R1C2\n","22","Urine_3mm","WATER_ADJ","usera2,FIB01184,usera3,FIBr05,usera4,fib117","D:\IVDrData\data"
103,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01185_R1C3\n","30","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01185,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
103,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01185_R1C3\n","31","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01185,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
103,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01185_R1C3\n","32","Urine_3mm","WATER_ADJ","usera2,FIB01185,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
104,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01186_R1C4\n","40","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01186,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
104,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01186_R1C4\n","41","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01186,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
104,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01186_R1C4\n","42","Urine_3mm","WATER_ADJ","usera2,FIB01186,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
105,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01187_R1C5\n","50","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01187,usera3,FIBr05,usera4,fib150","D:\IVDrData\data"
105,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01187_R1C5\n","51","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01187,usera3,FIBr05,usera4,fib150","D:\IVDrData\data"
105,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01187_R1C5\n","52","Urine_3mm","WATER_ADJ","usera2,FIB01187,usera3,FIBr05,usera4,fib150","D:\IVDrData\data"
106,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01188_R1C6\n","60","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01188,usera3,FIBr05,usera4,fib202","D:\IVDrData\data"
106,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01188_R1C6\n","61","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01188,usera3,FIBr05,usera4,fib202","D:\IVDrData\data"
106,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01188_R1C6\n","62","Urine_3mm","WATER_ADJ","usera2,FIB01188,usera3,FIBr05,usera4,fib202","D:\IVDrData\data"
107,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01189_R1C7\n","70","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01189,usera3,FIBr05,usera4,fib212","D:\IVDrData\data"
