"HOLDER","USER","NAME","TITLE","EXPNO","SOLVENT","EXPERIMENT","PARAMETERS","DISK"
101,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01183_R1C1\n","10","Urine","PROF_URINE_NOESY","usera2,FIB01183,usera3,FIBr05,usera4,fib112","D:\IVDrData\data"
101,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01183_R1C1\n","11","Urine","PROF_URINE_JRES","usera2,FIB01183,usera3,FIBr05,usera4,fib112","D:\IVDrData\data"
102,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01184_R1C2\n","20","Urine","PROF_URINE_NOESY","usera2,FIB01184,usera3,FIBr05,usera4,fib117","D:\IVDrData\data"
102,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01184_R1C2\n","21","Urine","PROF_URINE_JRES","usera2,FIB01184,usera3,FIBr05,usera4,fib117","D:\IVDrData\data"
103,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01185_R1C3\n","30","Urine","PROF_URINE_NOESY","usera2,FIB01185,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
103,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01185_R1C3\n","31","Urine","PROF_URINE_JRES","usera2,FIB01185,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
104,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01186_R1C4\n","40","Urine","PROF_URINE_NOESY","usera2,FIB01186,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
104,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01186_R1C4\n","41","Urine","PROF_URINE_JRES","usera2,FIB01186,usera3,FIBr05,usera4,fib123","D:\IVDrData\data"
105,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01187_R1C5\n","50","Urine","PROF_URINE_NOESY","usera2,FIB01187,usera3,FIBr05,usera4,fib150","D:\IVDrData\data"
105,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01187_R1C5\n","51","Urine","PROF_URINE_JRES","usera2,FIB01187,usera3,FIBr05,usera4,fib150","D:\IVDrData\data"
106,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01188_R1C6\n","60","Urine","PROF_URINE_NOESY","usera2,FIB01188,usera3,FIBr05,usera4,fib202","D:\IVDrData\data"
106,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01188_R1C6\n","61","Urine","PROF_URINE_JRES","usera2,FIB01188,usera3,FIBr05,usera4,fib202","D:\IVDrData\data"
107,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01189_R1C7\n","70","Urine","PROF_URINE_NOESY","usera2,FIB01189,usera3,FIBr05,usera4,fib212","D:\IVDrData\data"
107,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01189_R1C7\n","71","Urine","PROF_URINE_JRES","usera2,FIB01189,usera3,FIBr05,usera4,fib212","D:\IVDrData\data"
108,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01190_R1C8\n","80","Urine","PROF_URINE_NOESY","usera2,FIB01190,usera3,FIBr05,usera4,fib220","D:\IVDrData\data"
108,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01190_R1C8\n","81","Urine","PROF_URINE_JRES","usera2,FIB01190,usera3,FIBr05,usera4,fib220","D:\IVDrData\data"
109,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01191_R1C9\n","90","Urine","PROF_URINE_NOESY","usera2,FIB01191,usera3,FIBr05,usera4,fib256","D:\IVDrData\data"
109,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01191_R1C9\n","91","Urine","PROF_URINE_JRES","usera2,FIB01191,usera3,FIBr05,usera4,fib256","D:\IVDrData\data"
110,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01192_R1C10\n","100","Urine","PROF_URINE_NOESY","usera2,FIB01192,usera3,FIBr05,usera4,fib274","D:\IVDrData\data"
110,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01192_R1C10\n","101","Urine","PROF_URINE_JRES","usera2,FIB01192,usera3,FIBr05,usera4,fib274","D:\IVDrData\data"
113,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01193_R2C1\n","110","Urine","PROF_URINE_NOESY","usera2,FIB01193,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
113,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01193_R2C1\n","111","Urine","PROF_URINE_JRES","usera2,FIB01193,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
114,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01195_R2C2\n","120","Urine","PROF_URINE_NOESY","usera2,FIB01195,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
114,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01195_R2C2\n","121","Urine","PROF_URINE_JRES","usera2,FIB01195,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
115,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01196_R2C3\n","130","Urine","PROF_URINE_NOESY","usera2,FIB01196,usera3,FIBr05,usera4,fib297","D:\IVDrData\data"
115,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01196_R2C3\n","131","Urine","PROF_URINE_JRES","usera2,FIB01196,usera3,FIBr05,usera4,fib297","D:\IVDrData\data"
116,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01197_R2C4\n","140","Urine","PROF_URINE_NOESY","usera2,FIB01197,usera3,FIBr05,usera4,fib329","D:\IVDrData\data"
116,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01197_R2C4\n","141","Urine","PROF_URINE_JRES","usera2,FIB01197,usera3,FIBr05,usera4,fib329","D:\IVDrData\data"
117,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01198_R2C5\n","150","Urine","PROF_URINE_NOESY","usera2,FIB01198,usera3,FIBr05,usera4,fib380","D:\IVDrData\data"
117,"nmrsu","fibers_C1_FAE_NMR-URINE@fEPP_FIBr05_FIBp045","fibers_NMR-URINE_FAE_FIB01198_R2C5\n","151","Urine","PROF_URINE_JRES","usera2,FIB01198,usera3,FIBr05,usera4,fib380","D:\IVDrData\data"
